rank,id,round,score,exact,under,over,extremeOver,totalOnsets,parameters
1,r007-0006-914182ea,7,308,7,2,0,0,113,"{""relativeReattackFactor"":3.444547,""relativeReattackMinDelta"":0.011439,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.405212,""spectralNoveltyMinBins"":56,""cooldownFrames"":5,""cooldownOverrideFactor"":2.518971,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.06663,""analyzeIntervalMs"":41}"
2,r008-0007-15d91804,8,308,7,2,0,0,113,"{""relativeReattackFactor"":3.431046,""relativeReattackMinDelta"":0.011109,""relativeFluxFactor"":1.474947,""spectralNoveltyRatio"":3.591344,""spectralNoveltyMinBins"":55,""cooldownFrames"":5,""cooldownOverrideFactor"":2.563639,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.067423,""analyzeIntervalMs"":41}"
3,r008-0020-5c0ed68b,8,308,7,2,0,0,113,"{""relativeReattackFactor"":3.597794,""relativeReattackMinDelta"":0.011544,""relativeFluxFactor"":1.451558,""spectralNoveltyRatio"":3.146493,""spectralNoveltyMinBins"":57,""cooldownFrames"":5,""cooldownOverrideFactor"":2.631833,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.069013,""analyzeIntervalMs"":41}"
4,r008-0031-2c3c13fd,8,308,7,2,0,0,113,"{""relativeReattackFactor"":3.438508,""relativeReattackMinDelta"":0.010908,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.521074,""spectralNoveltyMinBins"":57,""cooldownFrames"":5,""cooldownOverrideFactor"":2.596139,""cooldownOverrideMinFlux"":0.029471,""cooldownOverrideMinBandRatio"":0.068172,""analyzeIntervalMs"":41}"
5,r008-0039-ac27c312,8,308,7,2,0,0,113,"{""relativeReattackFactor"":3.544716,""relativeReattackMinDelta"":0.009877,""relativeFluxFactor"":1.505119,""spectralNoveltyRatio"":3.378958,""spectralNoveltyMinBins"":56,""cooldownFrames"":5,""cooldownOverrideFactor"":2.671932,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.07097,""analyzeIntervalMs"":41}"
6,r008-0047-02de854c,8,308,7,2,0,0,113,"{""relativeReattackFactor"":3.558738,""relativeReattackMinDelta"":0.011971,""relativeFluxFactor"":1.615799,""spectralNoveltyRatio"":3.66609,""spectralNoveltyMinBins"":55,""cooldownFrames"":5,""cooldownOverrideFactor"":2.584592,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.067028,""analyzeIntervalMs"":41}"
7,r008-0067-b5986fb0,8,308,7,2,0,0,113,"{""relativeReattackFactor"":3.400379,""relativeReattackMinDelta"":0.012014,""relativeFluxFactor"":1.530617,""spectralNoveltyRatio"":3.708267,""spectralNoveltyMinBins"":58,""cooldownFrames"":5,""cooldownOverrideFactor"":2.681338,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.069162,""analyzeIntervalMs"":41}"
8,r008-0070-578960a8,8,308,7,2,0,0,113,"{""relativeReattackFactor"":3.510709,""relativeReattackMinDelta"":0.011611,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.26855,""spectralNoveltyMinBins"":57,""cooldownFrames"":5,""cooldownOverrideFactor"":2.468215,""cooldownOverrideMinFlux"":0.029759,""cooldownOverrideMinBandRatio"":0.072311,""analyzeIntervalMs"":41}"
9,r008-0074-3c166fb5,8,308,7,2,0,0,113,"{""relativeReattackFactor"":3.493544,""relativeReattackMinDelta"":0.010386,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.251255,""spectralNoveltyMinBins"":56,""cooldownFrames"":5,""cooldownOverrideFactor"":2.65892,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.068811,""analyzeIntervalMs"":41}"
10,r009-0001-7256f7a8,9,308,7,2,0,0,113,"{""relativeReattackFactor"":3.478815,""relativeReattackMinDelta"":0.011243,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.536773,""spectralNoveltyMinBins"":55,""cooldownFrames"":5,""cooldownOverrideFactor"":2.642321,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.066907,""analyzeIntervalMs"":41}"
11,r009-0006-914791de,9,308,7,2,0,0,113,"{""relativeReattackFactor"":3.509949,""relativeReattackMinDelta"":0.010794,""relativeFluxFactor"":1.497071,""spectralNoveltyRatio"":3.30393,""spectralNoveltyMinBins"":58,""cooldownFrames"":5,""cooldownOverrideFactor"":2.439033,""cooldownOverrideMinFlux"":0.029406,""cooldownOverrideMinBandRatio"":0.068302,""analyzeIntervalMs"":41}"
12,r009-0020-1dd7cc04,9,308,7,2,0,0,113,"{""relativeReattackFactor"":3.590281,""relativeReattackMinDelta"":0.009296,""relativeFluxFactor"":1.605594,""spectralNoveltyRatio"":3.395662,""spectralNoveltyMinBins"":56,""cooldownFrames"":5,""cooldownOverrideFactor"":2.71622,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.073047,""analyzeIntervalMs"":41}"
13,r009-0025-c6ffa498,9,308,7,2,0,0,113,"{""relativeReattackFactor"":3.501728,""relativeReattackMinDelta"":0.010132,""relativeFluxFactor"":1.552851,""spectralNoveltyRatio"":3.46753,""spectralNoveltyMinBins"":57,""cooldownFrames"":5,""cooldownOverrideFactor"":2.654474,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.072724,""analyzeIntervalMs"":41}"
14,r009-0039-4f8dfe36,9,308,7,2,0,0,113,"{""relativeReattackFactor"":3.531205,""relativeReattackMinDelta"":0.010105,""relativeFluxFactor"":1.48085,""spectralNoveltyRatio"":3.34695,""spectralNoveltyMinBins"":58,""cooldownFrames"":5,""cooldownOverrideFactor"":2.50198,""cooldownOverrideMinFlux"":0.029244,""cooldownOverrideMinBandRatio"":0.065843,""analyzeIntervalMs"":41}"
15,r009-0044-76cc0580,9,308,7,2,0,0,113,"{""relativeReattackFactor"":3.431649,""relativeReattackMinDelta"":0.010839,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.403551,""spectralNoveltyMinBins"":58,""cooldownFrames"":5,""cooldownOverrideFactor"":2.714454,""cooldownOverrideMinFlux"":0.029679,""cooldownOverrideMinBandRatio"":0.067109,""analyzeIntervalMs"":41}"
16,r009-0048-7dd6a03b,9,308,7,2,0,0,113,"{""relativeReattackFactor"":3.661669,""relativeReattackMinDelta"":0.011637,""relativeFluxFactor"":1.594235,""spectralNoveltyRatio"":3.177986,""spectralNoveltyMinBins"":58,""cooldownFrames"":5,""cooldownOverrideFactor"":2.664496,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.071633,""analyzeIntervalMs"":41}"
17,r009-0054-4ca8cdcd,9,308,7,2,0,0,113,"{""relativeReattackFactor"":3.445628,""relativeReattackMinDelta"":0.010888,""relativeFluxFactor"":1.537164,""spectralNoveltyRatio"":3.595845,""spectralNoveltyMinBins"":56,""cooldownFrames"":5,""cooldownOverrideFactor"":2.496997,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.069118,""analyzeIntervalMs"":41}"
18,r009-0059-1a661525,9,308,7,2,0,0,113,"{""relativeReattackFactor"":3.408925,""relativeReattackMinDelta"":0.010288,""relativeFluxFactor"":1.409018,""spectralNoveltyRatio"":3.645978,""spectralNoveltyMinBins"":57,""cooldownFrames"":5,""cooldownOverrideFactor"":2.519973,""cooldownOverrideMinFlux"":0.028735,""cooldownOverrideMinBandRatio"":0.066163,""analyzeIntervalMs"":41}"
19,r009-0065-14d7074e,9,308,7,2,0,0,113,"{""relativeReattackFactor"":3.448307,""relativeReattackMinDelta"":0.009326,""relativeFluxFactor"":1.413313,""spectralNoveltyRatio"":3.476086,""spectralNoveltyMinBins"":58,""cooldownFrames"":5,""cooldownOverrideFactor"":2.596101,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.071,""analyzeIntervalMs"":41}"
20,r009-0067-a2417455,9,308,7,2,0,0,113,"{""relativeReattackFactor"":3.41457,""relativeReattackMinDelta"":0.010984,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.662995,""spectralNoveltyMinBins"":57,""cooldownFrames"":5,""cooldownOverrideFactor"":2.519692,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.067984,""analyzeIntervalMs"":41}"
21,r009-0073-b04f9d1e,9,308,7,2,0,0,113,"{""relativeReattackFactor"":3.633706,""relativeReattackMinDelta"":0.011158,""relativeFluxFactor"":1.469927,""spectralNoveltyRatio"":2.989499,""spectralNoveltyMinBins"":56,""cooldownFrames"":5,""cooldownOverrideFactor"":2.755175,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.070073,""analyzeIntervalMs"":41}"
