rank,id,round,score,exact,under,over,extremeUnder,extremeOver,totalOnsets,parameters
1,r004-0075-3f8713c6,4,176,5,3,1,1,0,128,"{""relativeReattackFactor"":2.964114,""relativeReattackMinDelta"":0.013153,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.674556,""spectralNoveltyMinBins"":40,""cooldownFrames"":5,""cooldownOverrideFactor"":3.016468,""cooldownOverrideMinFlux"":0.025748,""cooldownOverrideMinBandRatio"":0.066151,""analyzeIntervalMs"":41}"
2,r005-0030-de0a0c60,5,176,5,3,1,1,0,128,"{""relativeReattackFactor"":2.901453,""relativeReattackMinDelta"":0.014361,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.586976,""spectralNoveltyMinBins"":40,""cooldownFrames"":5,""cooldownOverrideFactor"":2.470103,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.04916,""analyzeIntervalMs"":41}"
3,r007-0004-d698f908,7,176,5,3,1,1,0,128,"{""relativeReattackFactor"":2.934985,""relativeReattackMinDelta"":0.013994,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.743932,""spectralNoveltyMinBins"":40,""cooldownFrames"":5,""cooldownOverrideFactor"":2.581232,""cooldownOverrideMinFlux"":0.029334,""cooldownOverrideMinBandRatio"":0.051468,""analyzeIntervalMs"":41}"
4,r007-0036-666abdbb,7,176,5,3,1,1,0,128,"{""relativeReattackFactor"":3.0682,""relativeReattackMinDelta"":0.012453,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.592211,""spectralNoveltyMinBins"":40,""cooldownFrames"":5,""cooldownOverrideFactor"":3.073779,""cooldownOverrideMinFlux"":0.025063,""cooldownOverrideMinBandRatio"":0.065897,""analyzeIntervalMs"":41}"
5,r007-0056-ffa44464,7,176,5,3,1,1,0,128,"{""relativeReattackFactor"":2.937954,""relativeReattackMinDelta"":0.01224,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.567752,""spectralNoveltyMinBins"":40,""cooldownFrames"":5,""cooldownOverrideFactor"":2.860135,""cooldownOverrideMinFlux"":0.026055,""cooldownOverrideMinBandRatio"":0.069161,""analyzeIntervalMs"":41}"
6,r007-0059-56acdca8,7,176,5,3,1,1,0,128,"{""relativeReattackFactor"":2.920487,""relativeReattackMinDelta"":0.013619,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.481932,""spectralNoveltyMinBins"":40,""cooldownFrames"":5,""cooldownOverrideFactor"":2.339598,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.047228,""analyzeIntervalMs"":41}"
7,r008-0009-1f16c706,8,176,5,3,1,1,0,127,"{""relativeReattackFactor"":3.09924,""relativeReattackMinDelta"":0.012776,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.479181,""spectralNoveltyMinBins"":40,""cooldownFrames"":5,""cooldownOverrideFactor"":3.203714,""cooldownOverrideMinFlux"":0.024318,""cooldownOverrideMinBandRatio"":0.064417,""analyzeIntervalMs"":41}"
8,r008-0042-6f7f9278,8,176,5,3,1,1,0,128,"{""relativeReattackFactor"":2.926857,""relativeReattackMinDelta"":0.013738,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.632956,""spectralNoveltyMinBins"":40,""cooldownFrames"":5,""cooldownOverrideFactor"":2.574184,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.048352,""analyzeIntervalMs"":41}"
9,r009-0059-ea83a45c,9,176,5,3,1,1,0,128,"{""relativeReattackFactor"":3.038617,""relativeReattackMinDelta"":0.011833,""relativeFluxFactor"":1.409018,""spectralNoveltyRatio"":2.717115,""spectralNoveltyMinBins"":40,""cooldownFrames"":5,""cooldownOverrideFactor"":2.997613,""cooldownOverrideMinFlux"":0.024327,""cooldownOverrideMinBandRatio"":0.063888,""analyzeIntervalMs"":41}"
10,r005-0061-ca2e1f07,5,174,5,3,2,1,0,129,"{""relativeReattackFactor"":2.838488,""relativeReattackMinDelta"":0.01244,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.667707,""spectralNoveltyMinBins"":40,""cooldownFrames"":5,""cooldownOverrideFactor"":2.883562,""cooldownOverrideMinFlux"":0.025286,""cooldownOverrideMinBandRatio"":0.066539,""analyzeIntervalMs"":41}"
11,r006-0067-e47cc4b7,6,174,5,3,2,1,0,129,"{""relativeReattackFactor"":2.847575,""relativeReattackMinDelta"":0.013442,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.600855,""spectralNoveltyMinBins"":40,""cooldownFrames"":5,""cooldownOverrideFactor"":2.425287,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.04943,""analyzeIntervalMs"":41}"
12,r006-0073-13938f22,6,174,5,3,2,1,0,129,"{""relativeReattackFactor"":2.716462,""relativeReattackMinDelta"":0.012319,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.633431,""spectralNoveltyMinBins"":40,""cooldownFrames"":5,""cooldownOverrideFactor"":2.7882,""cooldownOverrideMinFlux"":0.0243,""cooldownOverrideMinBandRatio"":0.068433,""analyzeIntervalMs"":41}"
13,r007-0044-c8375096,7,174,5,3,2,1,0,129,"{""relativeReattackFactor"":2.77317,""relativeReattackMinDelta"":0.012783,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.588773,""spectralNoveltyMinBins"":40,""cooldownFrames"":5,""cooldownOverrideFactor"":2.469346,""cooldownOverrideMinFlux"":0.029067,""cooldownOverrideMinBandRatio"":0.047542,""analyzeIntervalMs"":41}"
14,r008-0072-aefab9a6,8,174,5,3,2,1,0,129,"{""relativeReattackFactor"":2.868211,""relativeReattackMinDelta"":0.01427,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.6266,""spectralNoveltyMinBins"":40,""cooldownFrames"":5,""cooldownOverrideFactor"":2.412923,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.049933,""analyzeIntervalMs"":41}"
15,r009-0012-5d7e3651,9,174,5,3,2,1,0,129,"{""relativeReattackFactor"":2.838165,""relativeReattackMinDelta"":0.014975,""relativeFluxFactor"":1.409594,""spectralNoveltyRatio"":2.540731,""spectralNoveltyMinBins"":40,""cooldownFrames"":5,""cooldownOverrideFactor"":2.374967,""cooldownOverrideMinFlux"":0.029228,""cooldownOverrideMinBandRatio"":0.049511,""analyzeIntervalMs"":41}"
16,r007-0046-99e79281,7,118,5,4,1,2,0,125,"{""relativeReattackFactor"":3.005154,""relativeReattackMinDelta"":0.012947,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.48634,""spectralNoveltyMinBins"":41,""cooldownFrames"":5,""cooldownOverrideFactor"":3.05694,""cooldownOverrideMinFlux"":0.026458,""cooldownOverrideMinBandRatio"":0.069502,""analyzeIntervalMs"":41}"
17,r009-0044-acd44abe,9,118,5,4,1,2,0,125,"{""relativeReattackFactor"":3.061341,""relativeReattackMinDelta"":0.012384,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.474688,""spectralNoveltyMinBins"":41,""cooldownFrames"":5,""cooldownOverrideFactor"":3.192094,""cooldownOverrideMinFlux"":0.025271,""cooldownOverrideMinBandRatio"":0.064834,""analyzeIntervalMs"":41}"
18,r007-0014-45bc4052,7,116,5,4,2,2,0,126,"{""relativeReattackFactor"":2.764436,""relativeReattackMinDelta"":0.012395,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.480846,""spectralNoveltyMinBins"":41,""cooldownFrames"":5,""cooldownOverrideFactor"":2.441819,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.050765,""analyzeIntervalMs"":41}"
19,r007-0017-3174fbf7,7,104,4,3,2,1,0,129,"{""relativeReattackFactor"":2.931411,""relativeReattackMinDelta"":0.015028,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.392675,""spectralNoveltyMinBins"":40,""cooldownFrames"":5,""cooldownOverrideFactor"":2.613249,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.046693,""analyzeIntervalMs"":41}"
20,r007-0063-5b51c413,7,104,4,3,2,1,0,128,"{""relativeReattackFactor"":2.947258,""relativeReattackMinDelta"":0.013293,""relativeFluxFactor"":1.422322,""spectralNoveltyRatio"":2.828106,""spectralNoveltyMinBins"":39,""cooldownFrames"":5,""cooldownOverrideFactor"":2.730377,""cooldownOverrideMinFlux"":0.024109,""cooldownOverrideMinBandRatio"":0.06384,""analyzeIntervalMs"":41}"
21,r008-0014-fcb17705,8,104,4,3,2,1,0,128,"{""relativeReattackFactor"":3.133252,""relativeReattackMinDelta"":0.012488,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.422345,""spectralNoveltyMinBins"":40,""cooldownFrames"":5,""cooldownOverrideFactor"":2.93796,""cooldownOverrideMinFlux"":0.023931,""cooldownOverrideMinBandRatio"":0.064483,""analyzeIntervalMs"":41}"
22,r008-0019-6e4735bc,8,104,4,3,2,1,0,128,"{""relativeReattackFactor"":3.152495,""relativeReattackMinDelta"":0.011713,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.518565,""spectralNoveltyMinBins"":38,""cooldownFrames"":5,""cooldownOverrideFactor"":3.142712,""cooldownOverrideMinFlux"":0.02537,""cooldownOverrideMinBandRatio"":0.068109,""analyzeIntervalMs"":41}"
23,r008-0059-033a2cd2,8,104,4,3,2,1,0,128,"{""relativeReattackFactor"":3.132907,""relativeReattackMinDelta"":0.012087,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.709777,""spectralNoveltyMinBins"":39,""cooldownFrames"":5,""cooldownOverrideFactor"":2.998674,""cooldownOverrideMinFlux"":0.024927,""cooldownOverrideMinBandRatio"":0.065503,""analyzeIntervalMs"":41}"
24,r009-0001-8361df4b,9,104,4,3,2,1,0,128,"{""relativeReattackFactor"":2.998382,""relativeReattackMinDelta"":0.012957,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.806117,""spectralNoveltyMinBins"":39,""cooldownFrames"":5,""cooldownOverrideFactor"":3.139818,""cooldownOverrideMinFlux"":0.026703,""cooldownOverrideMinBandRatio"":0.066428,""analyzeIntervalMs"":41}"
25,r009-0073-3de59fb1,9,104,4,3,2,1,0,129,"{""relativeReattackFactor"":2.970897,""relativeReattackMinDelta"":0.013608,""relativeFluxFactor"":1.418369,""spectralNoveltyRatio"":2.586938,""spectralNoveltyMinBins"":39,""cooldownFrames"":5,""cooldownOverrideFactor"":2.704574,""cooldownOverrideMinFlux"":0.02945,""cooldownOverrideMinBandRatio"":0.052528,""analyzeIntervalMs"":41}"
26,r006-0038-3378e31a,6,102,4,3,3,1,0,129,"{""relativeReattackFactor"":2.734567,""relativeReattackMinDelta"":0.012483,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.808748,""spectralNoveltyMinBins"":39,""cooldownFrames"":5,""cooldownOverrideFactor"":2.816555,""cooldownOverrideMinFlux"":0.025175,""cooldownOverrideMinBandRatio"":0.067299,""analyzeIntervalMs"":41}"
27,r006-0041-dbca09d9,6,102,4,3,3,1,0,130,"{""relativeReattackFactor"":2.824869,""relativeReattackMinDelta"":0.013612,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.558724,""spectralNoveltyMinBins"":39,""cooldownFrames"":5,""cooldownOverrideFactor"":3.071668,""cooldownOverrideMinFlux"":0.026346,""cooldownOverrideMinBandRatio"":0.063153,""analyzeIntervalMs"":41}"
28,r007-0062-35e3136b,7,102,4,3,3,1,0,130,"{""relativeReattackFactor"":2.881384,""relativeReattackMinDelta"":0.013785,""relativeFluxFactor"":1.407604,""spectralNoveltyRatio"":2.607924,""spectralNoveltyMinBins"":39,""cooldownFrames"":5,""cooldownOverrideFactor"":2.506357,""cooldownOverrideMinFlux"":0.028899,""cooldownOverrideMinBandRatio"":0.051462,""analyzeIntervalMs"":41}"
29,r008-0045-1788cf6c,8,102,4,3,3,1,0,130,"{""relativeReattackFactor"":2.852096,""relativeReattackMinDelta"":0.012195,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.562706,""spectralNoveltyMinBins"":39,""cooldownFrames"":5,""cooldownOverrideFactor"":2.774012,""cooldownOverrideMinFlux"":0.026703,""cooldownOverrideMinBandRatio"":0.066627,""analyzeIntervalMs"":41}"
30,r003-0016-5df1315e,3,98,3,2,5,0,0,133,"{""relativeReattackFactor"":2.757637,""relativeReattackMinDelta"":0.009903,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.693078,""spectralNoveltyMinBins"":33,""cooldownFrames"":5,""cooldownOverrideFactor"":3.032529,""cooldownOverrideMinFlux"":0.025394,""cooldownOverrideMinBandRatio"":0.057377,""analyzeIntervalMs"":41}"
31,r004-0018-80c3b1d4,4,98,3,2,5,0,0,133,"{""relativeReattackFactor"":2.811764,""relativeReattackMinDelta"":0.014077,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.394957,""spectralNoveltyMinBins"":34,""cooldownFrames"":5,""cooldownOverrideFactor"":3.034475,""cooldownOverrideMinFlux"":0.023566,""cooldownOverrideMinBandRatio"":0.05189,""analyzeIntervalMs"":41}"
32,r005-0013-d939c063,5,98,3,2,5,0,0,133,"{""relativeReattackFactor"":2.685592,""relativeReattackMinDelta"":0.013469,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.129665,""spectralNoveltyMinBins"":35,""cooldownFrames"":5,""cooldownOverrideFactor"":3.143796,""cooldownOverrideMinFlux"":0.022271,""cooldownOverrideMinBandRatio"":0.047906,""analyzeIntervalMs"":41}"
33,r007-0038-ea7758d3,7,96,4,3,3,1,0,130,"{""relativeReattackFactor"":2.917336,""relativeReattackMinDelta"":0.011989,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.688115,""spectralNoveltyMinBins"":37,""cooldownFrames"":5,""cooldownOverrideFactor"":2.95356,""cooldownOverrideMinFlux"":0.026565,""cooldownOverrideMinBandRatio"":0.0678,""analyzeIntervalMs"":41}"
34,r008-0006-1dd952b5,8,96,4,3,3,1,0,130,"{""relativeReattackFactor"":2.994779,""relativeReattackMinDelta"":0.012239,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.822749,""spectralNoveltyMinBins"":38,""cooldownFrames"":5,""cooldownOverrideFactor"":2.964832,""cooldownOverrideMinFlux"":0.025993,""cooldownOverrideMinBandRatio"":0.063139,""analyzeIntervalMs"":41}"
35,r008-0010-6715365d,8,96,4,3,3,1,0,130,"{""relativeReattackFactor"":2.90402,""relativeReattackMinDelta"":0.012548,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.614114,""spectralNoveltyMinBins"":38,""cooldownFrames"":5,""cooldownOverrideFactor"":2.76648,""cooldownOverrideMinFlux"":0.025041,""cooldownOverrideMinBandRatio"":0.067341,""analyzeIntervalMs"":41}"
36,r008-0011-2e028a62,8,96,4,3,3,1,0,130,"{""relativeReattackFactor"":2.991241,""relativeReattackMinDelta"":0.013404,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.518114,""spectralNoveltyMinBins"":38,""cooldownFrames"":5,""cooldownOverrideFactor"":2.924162,""cooldownOverrideMinFlux"":0.026837,""cooldownOverrideMinBandRatio"":0.067349,""analyzeIntervalMs"":41}"
37,r008-0029-26d9e498,8,96,4,3,3,1,0,129,"{""relativeReattackFactor"":3.100068,""relativeReattackMinDelta"":0.011868,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.448405,""spectralNoveltyMinBins"":38,""cooldownFrames"":5,""cooldownOverrideFactor"":3.025875,""cooldownOverrideMinFlux"":0.024471,""cooldownOverrideMinBandRatio"":0.068404,""analyzeIntervalMs"":41}"
